id	FAS	BCL6	CASP1	CD36	DDC	FABP4	IL10	NR4A2	ABCB1	PPARA	PPARD	PPARG	SHBG	NR1H4	LPAR6	PARK7	Type
Train.GSE164760_GSM5018296_Treat	7.12622300197633	5.24464191598878	7.33977044684197	6.57899842408362	6.93757622044801	5.53620089820594	4.91170975193198	6.78220879170527	5.22269800111109	6.58944814089814	5.05208280871368	4.66712439326239	6.02535025634883	7.77397629509706	5.35385215273628	8.86319754062749	1
Train.GSE164760_GSM5018297_Treat	6.25579174926832	3.90621168988483	6.31830253143755	5.54621457495433	8.39915728074187	4.0353820388746	3.74586658157765	3.85378827133185	5.18512402523434	6.9031483684707	4.14897447625911	4.22335023167952	5.28179991416526	8.42932519592466	6.25403652547634	8.63342019268966	1
Train.GSE164760_GSM5018298_Treat	6.35602389525326	4.8864857098186	7.03290858767062	7.31648374803571	5.85703798037554	4.70129459320641	4.24655852551815	4.09645521000693	5.16754006637977	7.33138139649132	4.90093833354144	4.85871712928239	6.61696168948187	7.90784071019678	4.76053544176969	8.2262592670253	1
Train.GSE164760_GSM5018299_Treat	5.19696135072036	5.57663469329589	5.31954389421536	5.18668434282472	7.42314963459043	4.57711439316437	3.92732184699668	5.91643923288803	6.2522100635599	6.34822746529595	5.07061375638575	4.98672567525484	6.40332991366198	9.07414021970604	5.02864953082701	9.28253951864252	1
Train.GSE164760_GSM5018300_Treat	6.10278101610884	4.69013053622823	6.96399430964869	5.67202209189397	7.30758440886746	5.54116810620762	3.48336448737357	4.28601326153426	7.70225707119133	6.41471885005408	4.36513929283928	4.85660543963568	6.13493187670333	7.8319966524281	7.50100504999878	9.06413229807073	1
Train.GSE164760_GSM5018301_Treat	6.39683197366177	5.69103842062728	7.11645664157182	5.49974205144032	5.78884559528698	3.46642122639608	4.56850289916987	4.80660604344417	6.47628011273732	6.50036266054269	4.33186824579969	4.88556752137303	6.81996637537623	8.25119046219922	4.39784774994361	9.03161728383732	1
Train.GSE164760_GSM5018302_Treat	5.77143459121694	4.1287874571103	6.3540507243926	5.94897919384519	6.48949725702113	4.90260928821632	4.48046802308068	3.48608115242432	5.72046437743841	6.91457524202946	5.5339239882963	4.85954180119161	5.13065820681403	8.15131144262019	4.60088387975765	9.25898476026303	1
Train.GSE164760_GSM5018303_Treat	6.55535999061756	4.18197425919314	7.07903335292783	7.36112566184998	6.13746187075791	4.41192141636996	3.73922580050397	3.974237457375	6.24215547285128	6.81914264278513	3.84534572193235	4.57688621353708	6.1330208284759	7.4500114801126	4.51662184616481	8.76851900680934	1
Train.GSE164760_GSM5018304_Treat	5.86272656153768	4.28642658882646	6.32052062008478	7.61433816744988	7.50488069173814	7.13149310600804	3.52636653974433	3.86949651545672	6.28219653121005	6.83121467313813	4.81024653583031	4.50429224465244	5.70512308075241	7.96749568151226	5.1370986197169	8.96129019030544	1
Train.GSE164760_GSM5018305_Treat	6.55535999061756	5.92032733940047	4.26985856039877	6.08012702289116	5.8017437323527	3.57260655608945	5.53460982064004	3.4869938307976	5.57847559848252	6.91530918051912	5.03592087808302	5.61104144553438	5.74017601076702	7.26261560256053	5.02820747458372	8.47092599930128	1
